Store ID,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1,1659,1961,530,73139.0
2,1461,1752,210,43802.0
3,1340,1609,720,59411.00000000001
4,1451,1748,620,59103.00000000001
5,1770,2111,450,51282.00000000001
6,1442,1733,760,49786.00000000001
7,1542,1858,1030,79464.0
8,1261,1507,1020,41492.0
9,1090,1321,680,50941.00000000001
10,1030,1235,1130,48565.00000000001
11,1187,1439,1090,78408.0
12,1751,2098,720,63382.00000000001
13,1746,2064,1050,66517.0
14,1615,1931,1160,65043.00000000001
15,1469,1756,770,72996.0
16,1644,1950,790,86757.0
17,1578,1907,1440,84975.0
18,1703,2045,670,41987.0
19,1438,1731,1030,69894.0
20,1940,2340,980,44209.0
21,1421,1700,370,47806.00000000001
